index,norm_bid
1666,0.9493670886075948
1668,0.963157894736842
1669,0.946341463414634
1670,0.9647058823529412
1675,0.9709962168978562
1676,0.952076677316294
1677,0.8975265017667845
1680,0.9671875
1688,0.9565217391304348
1693,0.9078014184397164
1697,0.9121338912133892
1699,0.92
1701,0.9428571428571428
1702,0.9501738122827348
1703,0.9670781893004116
1704,0.9574468085106383
1705,0.9465144230769232
1706,0.9285714285714286
1707,0.9361702127659576
1708,0.9375
1709,0.9163934426229507
1710,0.9230769230769232
1712,0.9534883720930232
1713,0.9474768280123584
1714,0.9455587392550144
1715,0.9287925696594428
1716,0.8198051948051948
1717,0.90625
1718,0.9411764705882352
1719,0.9193548387096774
1720,0.9176954732510288
1721,0.9268292682926829
1722,0.9248554913294798
1723,0.9204368174726988
1726,0.8341165413533834
1727,0.9308943089430894
1729,0.8771186440677966
1730,0.9597014925373134
1732,0.9532710280373832
1733,0.9357894736842104
1734,0.819590824550527
1735,0.967503692762186
1736,0.9285714285714286
1738,0.94
1739,0.9298076923076924
1741,0.9202453987730062
1742,0.9285714285714286
1743,0.9285714285714286
1745,0.8183264070596685
1747,0.9339622641509434
1748,0.91899852724595
1749,0.9196185286103542
1750,0.9287531806615776
1751,0.9368686868686869
1752,0.9315068493150684
1753,0.9323479249573622
1754,0.9279639819909956
1755,0.9285714285714286
1756,0.8269230769230769
1757,0.9550218340611354
1758,0.9572784810126582
1760,0.9302083333333332
1762,0.9272727272727272
1763,0.8142857142857143
1764,0.9367859862909368
1765,0.9545454545454546
1766,0.8119834710743802
1768,0.9493333333333334
1769,0.931098696461825
1770,0.9411764705882352
1771,0.8598382749326146
1773,0.8033707865168539
1774,0.9393939393939394
1775,0.933846153846154
1777,0.9375
1778,0.925925925925926
1779,0.9306122448979592
1780,0.9297297297297298
1784,0.9485981308411215
1788,0.9595959595959596
1790,0.9436929852154764
1791,0.9307972480777014
1792,0.9059999999999999
1794,0.9859649122807016
1795,0.9489795918367347
1796,0.955819881053526
1797,0.9294871794871796
1799,0.9505106048703851
1800,0.9299689440993788
1802,0.925421883505716
1803,0.9554140127388536
1804,0.9300411522633744
1805,0.9273504273504274
1806,0.94921689606075
1807,0.9075342465753424
1808,0.8030771629804818
1809,0.8891050583657587
1811,0.9317073170731708
1812,0.9318181818181818
1813,0.9291338582677166
1814,0.9285714285714286
1815,0.9720670391061452
1817,0.9333333333333332
1829,0.925925925925926
1830,0.9375
1831,0.8902439024390244
1832,0.918854415274463
1835,0.9220779220779219
1839,0.9293478260869564
1844,0.9159663865546218
1851,0.9565217391304348
1855,0.9375
1858,0.9302325581395348
1872,0.9589552238805972
1873,0.9242298084929226
1881,0.8951612903225806
1888,0.9264705882352942
1890,0.9450549450549449
1893,0.9418604651162792
1894,0.9354536950420954
1895,0.9546539379474941
1899,0.9240506329113924
1912,0.927536231884058
1914,0.930368636629608
1917,0.9274611398963728
1922,0.9276190476190476
1925,0.926923076923077
1928,0.9278350515463918
1931,0.9183673469387756
1935,0.9236641221374046
